"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.vlsiphysicaldesign.top/","text/html; charset=utf-8","200","OK","Indexable","","59","0.222","",""
"https://www.vlsiphysicaldesign.top/advanced_logic_synthesis","text/html; charset=utf-8","200","OK","Indexable","","29","0.513","",""
"https://www.vlsiphysicaldesign.top/io_design","text/html; charset=utf-8","200","OK","Indexable","","3","0.832","",""
"https://www.vlsiphysicaldesign.top/eco","text/html; charset=utf-8","200","OK","Indexable","","2","0.852","",""
"https://www.vlsiphysicaldesign.top/ccs_modeling","text/html; charset=utf-8","200","OK","Indexable","","9","0.856","",""
"https://www.vlsiphysicaldesign.top/placement","text/html; charset=utf-8","200","OK","Indexable","","19","0.877","",""
"https://www.vlsiphysicaldesign.top/power_analysis","text/html; charset=utf-8","200","OK","Indexable","","13","0.400","",""
"https://www.vlsiphysicaldesign.top/routing","text/html; charset=utf-8","200","OK","Indexable","","22","0.412","",""
"https://www.vlsiphysicaldesign.top/sta","text/html; charset=utf-8","200","OK","Indexable","","22","0.393","",""
"https://www.vlsiphysicaldesign.top/logic_synthesis","text/html; charset=utf-8","200","OK","Indexable","","11","0.499","",""
"https://www.vlsiphysicaldesign.top/ir_analysis","text/html; charset=utf-8","200","OK","Indexable","","5","0.388","",""
"https://www.vlsiphysicaldesign.top/powerplan","text/html; charset=utf-8","200","OK","Indexable","","20","0.538","",""
"https://www.vlsiphysicaldesign.top/delay_models","text/html; charset=utf-8","200","OK","Indexable","","13","0.381","",""
"https://www.vlsiphysicaldesign.top/who-am-i","text/html; charset=utf-8","200","OK","Indexable","","4","0.409","",""
"https://www.vlsiphysicaldesign.top/cmos_fundamentals","text/html; charset=utf-8","200","OK","Indexable","","9","0.220","",""
"https://www.vlsiphysicaldesign.top/blog","text/html; charset=utf-8","200","OK","Indexable","","28","0.407","",""
"https://www.vlsiphysicaldesign.top/pd_inputs","text/html; charset=utf-8","200","OK","Indexable","","26","0.733","",""
"https://www.vlsiphysicaldesign.top/pd_issues","text/html; charset=utf-8","200","OK","Indexable","","7","0.380","",""
"https://www.vlsiphysicaldesign.top/congestion_analysis","text/html; charset=utf-8","200","OK","Indexable","","18","0.388","",""
"https://www.vlsiphysicaldesign.top/work_sited","text/html; charset=utf-8","200","OK","Indexable","","30","0.406","",""
"https://www.vlsiphysicaldesign.top/sta_numericals","text/html; charset=utf-8","200","OK","Indexable","","4","0.391","",""
"https://www.vlsiphysicaldesign.top/floorplan","text/html; charset=utf-8","200","OK","Indexable","","18","0.587","",""
"https://www.vlsiphysicaldesign.top/std_cell_types","text/html; charset=utf-8","200","OK","Indexable","","11","0.508","",""
"https://www.vlsiphysicaldesign.top/pd_cells","text/html; charset=utf-8","200","OK","Indexable","","11","0.400","",""
"https://www.vlsiphysicaldesign.top/pd_verification","text/html; charset=utf-8","200","OK","Indexable","","8","0.383","",""
"https://www.vlsiphysicaldesign.top/cts","text/html; charset=utf-8","200","OK","Indexable","","18","0.451","",""
"https://www.vlsiphysicaldesign.top/main.css","text/css; charset=utf-8","200","OK","Indexable","","0","0.395","",""
"https://www.vlsiphysicaldesign.top/about","text/html; charset=utf-8","200","OK","Indexable","","59","0.544","",""
"https://www.vlsiphysicaldesign.top/projects","text/html; charset=utf-8","200","OK","Indexable","","4","0.388","",""
"https://www.vlsiphysicaldesign.top/assets/images/unsplash-1581094486392-3901b5539c6d.jpg","image/jpeg","200","OK","Indexable","","0","0.755","",""
"https://www.vlsiphysicaldesign.top/assets/images/advanced_logic_synthesis/Clock%20Path%20Optimization.webp","image/webp","200","OK","Indexable","","0","0.569","",""
