"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.vlsiphysicaldesign.top/","1","Indexable","","https://www.vlsiphysicaldesign.top/","","","","","","",""
"https://www.vlsiphysicaldesign.top/advanced_logic_synthesis","1","Indexable","","https://www.vlsiphysicaldesign.top/advanced_logic_synthesis","","","","","","",""
"https://www.vlsiphysicaldesign.top/io_design","1","Indexable","","https://www.vlsiphysicaldesign.top/io_design","","","","","","",""
"https://www.vlsiphysicaldesign.top/eco","1","Indexable","","https://www.vlsiphysicaldesign.top/eco","","","","","","",""
"https://www.vlsiphysicaldesign.top/ccs_modeling","1","Indexable","","https://www.vlsiphysicaldesign.top/ccs_modeling","","","","","","",""
"https://www.vlsiphysicaldesign.top/placement","1","Indexable","","https://www.vlsiphysicaldesign.top/placement","","","","","","",""
"https://www.vlsiphysicaldesign.top/power_analysis","1","Indexable","","https://www.vlsiphysicaldesign.top/power_analysis","","","","","","",""
"https://www.vlsiphysicaldesign.top/routing","1","Indexable","","https://www.vlsiphysicaldesign.top/routing","","","","","","",""
"https://www.vlsiphysicaldesign.top/sta","1","Indexable","","https://www.vlsiphysicaldesign.top/sta","","","","","","",""
"https://www.vlsiphysicaldesign.top/logic_synthesis","1","Indexable","","https://www.vlsiphysicaldesign.top/logic_synthesis","","","","","","",""
"https://www.vlsiphysicaldesign.top/ir_analysis","1","Indexable","","https://www.vlsiphysicaldesign.top/ir_analysis","","","","","","",""
"https://www.vlsiphysicaldesign.top/powerplan","1","Indexable","","https://www.vlsiphysicaldesign.top/powerplan","","","","","","",""
"https://www.vlsiphysicaldesign.top/delay_models","1","Indexable","","https://www.vlsiphysicaldesign.top/delay_models","","","","","","",""
"https://www.vlsiphysicaldesign.top/who-am-i","1","Indexable","","https://www.vlsiphysicaldesign.top/who-am-i","","","","","","",""
"https://www.vlsiphysicaldesign.top/cmos_fundamentals","1","Indexable","","https://www.vlsiphysicaldesign.top/cmos_fundamentals","","","","","","",""
"https://www.vlsiphysicaldesign.top/blog","1","Indexable","","https://www.vlsiphysicaldesign.top/blog","","index,follow","","","","",""
"https://www.vlsiphysicaldesign.top/pd_inputs","1","Indexable","","https://www.vlsiphysicaldesign.top/pd_inputs","","","","","","",""
"https://www.vlsiphysicaldesign.top/pd_issues","1","Indexable","","https://www.vlsiphysicaldesign.top/pd_issues","","","","","","",""
"https://www.vlsiphysicaldesign.top/congestion_analysis","1","Indexable","","https://www.vlsiphysicaldesign.top/congestion_analysis","","","","","","",""
"https://www.vlsiphysicaldesign.top/work_sited","1","Indexable","","https://www.vlsiphysicaldesign.top/work_sited","","","","","","",""
"https://www.vlsiphysicaldesign.top/sta_numericals","1","Indexable","","https://www.vlsiphysicaldesign.top/sta_numericals","","","","","","",""
"https://www.vlsiphysicaldesign.top/floorplan","1","Indexable","","https://www.vlsiphysicaldesign.top/floorplan","","","","","","",""
"https://www.vlsiphysicaldesign.top/std_cell_types","1","Indexable","","https://www.vlsiphysicaldesign.top/std_cell_types","","","","","","",""
"https://www.vlsiphysicaldesign.top/pd_cells","1","Indexable","","https://www.vlsiphysicaldesign.top/pd_cells","","","","","","",""
"https://www.vlsiphysicaldesign.top/pd_verification","1","Indexable","","https://www.vlsiphysicaldesign.top/pd_verification","","","","","","",""
"https://www.vlsiphysicaldesign.top/cts","1","Indexable","","https://www.vlsiphysicaldesign.top/cts","","","","","","",""
"https://www.vlsiphysicaldesign.top/about","1","Indexable","","https://www.vlsiphysicaldesign.top/about","","","","","","",""
"https://www.vlsiphysicaldesign.top/projects","1","Indexable","","https://www.vlsiphysicaldesign.top/projects","","index,follow","","","","",""
"https://www.vlsiphysicaldesign.top/advanced_synthesis","1","Indexable","","https://www.vlsiphysicaldesign.top/advanced_synthesis","","","","","","",""
