"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://www.vlsiphysicaldesign.top/","0","","","","https://www.vlsiphysicaldesign.top/","","Indexable",""
"https://www.vlsiphysicaldesign.top/advanced_logic_synthesis","0","","","","https://www.vlsiphysicaldesign.top/advanced_logic_synthesis","","Indexable",""
"https://www.vlsiphysicaldesign.top/io_design","0","","","","https://www.vlsiphysicaldesign.top/io_design","","Indexable",""
"https://www.vlsiphysicaldesign.top/eco","0","","","","https://www.vlsiphysicaldesign.top/eco","","Indexable",""
"https://www.vlsiphysicaldesign.top/ccs_modeling","0","","","","https://www.vlsiphysicaldesign.top/ccs_modeling","","Indexable",""
"https://www.vlsiphysicaldesign.top/placement","0","","","","https://www.vlsiphysicaldesign.top/placement","","Indexable",""
"https://www.vlsiphysicaldesign.top/power_analysis","0","","","","https://www.vlsiphysicaldesign.top/power_analysis","","Indexable",""
"https://www.vlsiphysicaldesign.top/routing","0","","","","https://www.vlsiphysicaldesign.top/routing","","Indexable",""
"https://www.vlsiphysicaldesign.top/sta","0","","","","https://www.vlsiphysicaldesign.top/sta","","Indexable",""
"https://www.vlsiphysicaldesign.top/logic_synthesis","0","","","","https://www.vlsiphysicaldesign.top/logic_synthesis","","Indexable",""
"https://www.vlsiphysicaldesign.top/ir_analysis","0","","","","https://www.vlsiphysicaldesign.top/ir_analysis","","Indexable",""
"https://www.vlsiphysicaldesign.top/powerplan","0","","","","https://www.vlsiphysicaldesign.top/powerplan","","Indexable",""
"https://www.vlsiphysicaldesign.top/delay_models","0","","","","https://www.vlsiphysicaldesign.top/delay_models","","Indexable",""
"https://www.vlsiphysicaldesign.top/who-am-i","0","","","","https://www.vlsiphysicaldesign.top/who-am-i","","Indexable",""
"https://www.vlsiphysicaldesign.top/cmos_fundamentals","0","","","","https://www.vlsiphysicaldesign.top/cmos_fundamentals","","Indexable",""
"https://www.vlsiphysicaldesign.top/blog","1","index,follow","","","https://www.vlsiphysicaldesign.top/blog","","Indexable",""
"https://www.vlsiphysicaldesign.top/pd_inputs","0","","","","https://www.vlsiphysicaldesign.top/pd_inputs","","Indexable",""
