"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://www.vlsiphysicaldesign.top/","59","16","3.688","31.024","Hard","","","","","","","","","","en","58c7d682224a4285669bf6b6a32c65e","Indexable",""
"https://www.vlsiphysicaldesign.top/advanced_logic_synthesis","7303","1142","6.395","39.415","Hard","","","","","","","","","","en","8da3fad0aba5306c87da9d79f060cf30","Indexable",""
"https://www.vlsiphysicaldesign.top/io_design","169","34","4.971","61.624","Normal","","","","","","","","","","en","68879f0b6870bd79306369551f932ec4","Indexable",""
"https://www.vlsiphysicaldesign.top/eco","151","33","4.576","63.245","Normal","","","","","","","","","","en","e1fd9230699481b9053cfe3bde2a333e","Indexable",""
"https://www.vlsiphysicaldesign.top/ccs_modeling","1460","288","5.069","69.111","Normal","","","","","","","","","","en","5555ab1f91ecd8cc23df38ff7bb93a0f","Indexable",""
"https://www.vlsiphysicaldesign.top/placement","8154","1197","6.812","49.334","Hard","","","","","","","","","","en","231693c18682a02592bb41a064fc677c","Indexable",""
"https://www.vlsiphysicaldesign.top/power_analysis","149","31","4.806","49.790","Hard","","","","","","","","","","en","2ccdb75e708b08bb5690e8e037585a93","Indexable",""
"https://www.vlsiphysicaldesign.top/routing","1354","194","6.979","61.417","Normal","","","","","","","","","","en","6a92d848feb52ab83bcf60c3726145a7","Indexable",""
"https://www.vlsiphysicaldesign.top/sta","173","34","5.088","59.855","Fairly Hard","","","","","","","","","","en","e7aafcbf994e0c5c3ad7066a4cce7cee","Indexable",""
"https://www.vlsiphysicaldesign.top/logic_synthesis","9851","1502","6.559","51.306","Fairly Hard","","","","","","","","","","en","3321be3ca341a40aa98810e2c4ab7a67","Indexable",""
"https://www.vlsiphysicaldesign.top/ir_analysis","159","33","4.818","68.926","Normal","","","","","","","","","","en","74ddf0920c74f0545ba820ecb5613958","Indexable",""
"https://www.vlsiphysicaldesign.top/powerplan","9284","1696","5.474","47.032","Hard","","","","","","","","","","en","aea03de38d07e9ffb141730eac7503e4","Indexable",""
"https://www.vlsiphysicaldesign.top/delay_models","197","38","5.184","56.422","Fairly Hard","","","","","","","","","","en","f7b626b69dd90f2eb3ab8fd8962a43e9","Indexable",""
"https://www.vlsiphysicaldesign.top/who-am-i","816","130","6.277","58.946","Fairly Hard","","","","","","","","","","en","86b045c44fbb2b8a36258c239c1dc29d","Indexable",""
"https://www.vlsiphysicaldesign.top/cmos_fundamentals","9283","1392","6.669","68.149","Normal","","","","","","","","","","en","ac0929ff8378fdcfab252cf022db291","Indexable",""
"https://www.vlsiphysicaldesign.top/blog","69","12","5.750","77.164","Fairly Easy","","","","","","","","","","en","b476011cc5530f5493356d7ceb800d7a","Indexable",""
"https://www.vlsiphysicaldesign.top/pd_inputs","7662","1307","5.862","62.998","Normal","","","","","","","","","","en","fb182cc4d3179af690d433b361a7f6ac","Indexable",""
"https://www.vlsiphysicaldesign.top/pd_issues","165","33","5.000","61.273","Normal","","","","","","","","","","en","e41eb4cb5d7ec1585492f2a007ec9883","Indexable",""
"https://www.vlsiphysicaldesign.top/congestion_analysis","157","32","4.906","59.598","Fairly Hard","","","","","","","","","","en","8e90cb5fa0a8669c08c3938bed8aa600","Indexable",""
"https://www.vlsiphysicaldesign.top/work_sited","519","234","2.218","2.946","Very Hard","","","","","","","","","","en","bcedcd4a266afde217591f38f3813115","Indexable",""
"https://www.vlsiphysicaldesign.top/sta_numericals","162","33","4.909","72.341","Fairly Easy","","","","","","","","","","en","8231f43627e03a20b4486d777f09b0b7","Indexable",""
"https://www.vlsiphysicaldesign.top/floorplan","8512","1279","6.655","55.081","Fairly Hard","","","","","","","","","","en","ba19ec45b5111128c44266fc470b97e7","Indexable",""
"https://www.vlsiphysicaldesign.top/std_cell_types","223","41","5.439","52.980","Fairly Hard","","","","","","","","","","en","f59952ff07c7ea19e9c5f5cc70840d92","Indexable",""
"https://www.vlsiphysicaldesign.top/pd_cells","185","36","5.139","62.601","Normal","","","","","","","","","","en","aeaad3f80204002ce60b5ff4eff03ead","Indexable",""
"https://www.vlsiphysicaldesign.top/pd_verification","170","33","5.152","64.256","Normal","","","","","","","","","","en","8198f6c8a830115dfbb8bef34ce1d03","Indexable",""
"https://www.vlsiphysicaldesign.top/cts","7801","1140","6.843","58.213","Fairly Hard","","","","","","","","","","en","d80578df8bdbeaeef65c83c6e92bd19d","Indexable",""
"https://www.vlsiphysicaldesign.top/about","66","11","6.000","73.845","Fairly Easy","","","","","","","","","","en","90ddcb6913ed5633619f3cb724430552","Indexable",""
"https://www.vlsiphysicaldesign.top/projects","70","12","5.833","77.640","Fairly Easy","","","","","","","","","","en","40385dc8b7eef788569653cc97aec0d4","Indexable",""
"https://www.vlsiphysicaldesign.top/advanced_synthesis","8236","1275","6.460","52.054","Fairly Hard","","","","","","","","","","en","762a42681f82fa70134125dd661ee4b6","Indexable",""
